Particle  Iter             zp[i]          uzp[i]         xp[i]          uxp[i]         
27            5          0.0237        47388.2516        -0.0040        -0.0000
28            5          0.0237        47388.2516        -0.0040        -0.0000
29            5          0.0237        47388.2516        -0.0040        -0.0000
30            5          0.0237        47388.2516        -0.0040        -0.0000
31            5          0.0237        47388.2516        -0.0040        -0.0000
32            5          0.0237        47388.2516        -0.0040        -0.0000
33            5          0.0237        47388.2516        -0.0040        -0.0000
34            5          0.0237        47388.2516        -0.0040        -0.0000
35            5          0.0237        47388.2516        -0.0040        -0.0000
36            5          0.0237        47388.2516        -0.0040        -0.0000
37            5          0.0237        47388.2516        -0.0040        -0.0000
38            5          0.0237        47388.2516        -0.0040        -0.0000
39            5          0.0237        47388.2516        -0.0040        -0.0000
40            5          0.0237        47388.2516        -0.0040        -0.0000
41            5          0.0237        47388.2516        -0.0040        -0.0000
42            5          0.0237        47388.2516        -0.0040        -0.0000
43            5          0.0237        47388.2516        -0.0040        -0.0000
44            5          0.0237        47388.2516        -0.0040        -0.0000
45            5          0.0237        47388.2516        -0.0040        -0.0000
46            5          0.0237        47388.2516        -0.0040        -0.0000
47            5          0.0237        47388.2516        -0.0040        -0.0000
48            5          0.0237        47388.2516        -0.0040        -0.0000
49            5          0.0237        47388.2516        -0.0040        -0.0000
0             6          0.0284        47388.2516        -0.0040        -0.0000
1             6          0.0284        47388.2516        -0.0040        -0.0000
2             6          0.0284        47388.2516        -0.0040        -0.0000
3             6          0.0284        47388.2516        -0.0040        -0.0000
4             6          0.0284        47388.2516        -0.0040        -0.0000
5             6          0.0284        47388.2516        -0.0040        -0.0000
6             6          0.0284        47388.2516        -0.0040        -0.0000
7             6          0.0284        47388.2516        -0.0040        -0.0000
8             6          0.0284        47388.2516        -0.0040        -0.0000
9             6          0.0284        47388.2516        -0.0040        -0.0000
10            6          0.0284        47388.2516        -0.0040        -0.0000
11            6          0.0284        47388.2516        -0.0040        -0.0000
12            6          0.0284        47388.2516        -0.0040        -0.0000
13            6          0.0284        47388.2516        -0.0040        -0.0000
14            6          0.0284        47388.2516        -0.0040        -0.0000
15            6          0.0284        47388.2516        -0.0040        -0.0000
16            6          0.0284        47388.2516        -0.0040        -0.0000
17            6          0.0284        47388.2516        -0.0040        -0.0000
18            6          0.0284        47388.2516        -0.0040        -0.0000
19            6          0.0284        47388.2516        -0.0040        -0.0000
20            6          0.0284        47388.2516        -0.0040        -0.0000
21            6          0.0284        47388.2516        -0.0040        -0.0000
22            6          0.0284        47388.2516        -0.0040        -0.0000
23            6          0.0284        47388.2516        -0.0040        -0.0000
24            6          0.0284        47388.2516        -0.0040        -0.0000
25            6          0.0284        47388.2516        -0.0040        -0.0000
26            6          0.0284        47388.2516        -0.0040        -0.0000
27            6          0.0284        47388.2516        -0.0040        -0.0000
28            6          0.0284        47388.2516        -0.0040        -0.0000
29            6          0.0284        47388.2516        -0.0040        -0.0000
30            6          0.0284        47388.2516        -0.0040        -0.0000
31            6          0.0284        47388.2516        -0.0040        -0.0000
32            6          0.0284        47388.2516        -0.0040        -0.0000
33            6          0.0284        47388.2516        -0.0040        -0.0000
34            6          0.0284        47388.2516        -0.0040        -0.0000
35            6          0.0284        47388.2516        -0.0040        -0.0000
36            6          0.0284        47388.2516        -0.0040        -0.0000
37            6          0.0284        47388.2516        -0.0040        -0.0000
38            6          0.0284        47388.2516        -0.0040        -0.0000
39            6          0.0284        47388.2516        -0.0040        -0.0000
40            6          0.0284        47388.2516        -0.0040        -0.0000
41            6          0.0284        47388.2516        -0.0040        -0.0000
42            6          0.0284        47388.2516        -0.0040        -0.0000
43            6          0.0284        47388.2516        -0.0040        -0.0000
44            6          0.0284        47388.2516        -0.0040        -0.0000
45            6          0.0284        47388.2516        -0.0040        -0.0000
46            6          0.0284        47388.2516        -0.0040        -0.0000
47            6          0.0284        47388.2516        -0.0040        -0.0000
48            6          0.0284        47388.2516        -0.0040        -0.0000
49            6          0.0284        47388.2516        -0.0040        -0.0000
0             7          0.0332        47388.2516        -0.0040        -0.0000
1             7          0.0332        47388.2516        -0.0040        -0.0000
2             7          0.0332        47388.2516        -0.0040        -0.0000
3             7          0.0332        47388.2516        -0.0040        -0.0000
4             7          0.0332        47388.2516        -0.0040        -0.0000
5             7          0.0332        47388.2516        -0.0040        -0.0000
6             7          0.0332        47388.2516        -0.0040        -0.0000
7             7          0.0332        47388.2516        -0.0040        -0.0000
8             7          0.0332        47388.2516        -0.0040        -0.0000
9             7          0.0332        47388.2516        -0.0040        -0.0000
10            7          0.0332        47388.2516        -0.0040        -0.0000
