Particle  Iter             zp[i]          uzp[i]         xp[i]          uxp[i]         
0           255          0.2138        -40265.8952        0.0000        0.0000
0           256          0.2098        -40265.8965        0.0000        0.0000
0           257          0.2057        -40265.8975        0.0000        0.0000
0           258          0.2017        -40265.8984        0.0000        0.0000
0           259          0.1977        -40265.8992        0.0000        0.0000
0           260          0.1937        -40265.8998        0.0000        0.0000
0           261          0.1896        -40265.9004        0.0000        0.0000
0           262          0.1856        -40265.9008        0.0000        0.0000
0           263          0.1816        -40265.9012        0.0000        0.0000
0           264          0.1776        -40265.9016        0.0000        0.0000
0           265          0.1735        -40265.9019        0.0000        0.0000
0           266          0.1695        -40265.9021        0.0000        0.0000
0           267          0.1655        -40265.9023        0.0000        0.0000
0           268          0.1615        -40265.9025        0.0000        0.0000
0           269          0.1574        -40265.9026        0.0000        0.0000
0           270          0.1534        -40265.9027        0.0000        0.0000
0           271          0.1494        -40265.9029        0.0000        0.0000
0           272          0.1453        -40265.9029        0.0000        0.0000
0           273          0.1413        -40265.9030        0.0000        0.0000
0           274          0.1373        -40265.9031        0.0000        0.0000
0           275          0.1333        -40265.9031        0.0000        0.0000
0           276          0.1292        -40265.9032        0.0000        0.0000
0           277          0.1252        -40265.9032        0.0000        0.0000
0           278          0.1212        -40265.9033        0.0000        0.0000
0           279          0.1172        -40265.9033        0.0000        0.0000
0           280          0.1131        -40265.9033        0.0000        0.0000
0           281          0.1091        -40265.9033        0.0000        0.0000
0           282          0.1051        -40265.9034        0.0000        0.0000
0           283          0.1011        -40265.9034        0.0000        0.0000
0           284          0.0970        -40265.9034        0.0000        0.0000
